,employeeID,year,team,region,age,experience,workSampleTest,b5cons,b5extra,b5open,b5emos,b5agree,feedbackmeet,teamBonus,productivity
15,3,2021,0,1,61,34,122.87348103908288,1.9,1.0,0.5,1.1,-0.5,1,0,0.2829076664034786
16,4,2018,0,2,33,8,92.79411266634989,0.6,-0.4,0.8,-1.7,0.9,1,0,0.9522295756530258
17,4,2019,0,2,34,9,92.79411266634989,0.6,-0.4,0.8,-1.7,0.9,1,0,0.7287587695812889
18,4,2020,0,2,35,10,92.79411266634989,0.6,-0.4,0.8,-1.7,0.9,1,0,0.9219832475163361
19,4,2021,0,2,36,11,92.79411266634989,0.6,-0.4,0.8,-1.7,0.9,1,0,-1.6188770172199975
20,5,2018,0,2,34,9,109.87162940307738,-0.2,-1.2,-0.1,1.7,-2.2,1,0,-0.23391998696254343
21,5,2019,0,2,35,10,109.87162940307738,-0.2,-1.2,-0.1,1.7,-2.2,1,0,-0.18397816890674276
22,5,2020,0,2,36,11,109.87162940307738,-0.2,-1.2,-0.1,1.7,-2.2,1,0,-1.347170641741786
23,5,2021,0,2,37,12,109.87162940307738,-0.2,-1.2,-0.1,1.7,-2.2,0,0,-1.1465196542241567
24,6,2018,0,1,42,15,98.59588413717417,1.0,-0.6,-1.7,0.8,-0.9,1,0,-0.5281388625005796
25,6,2019,0,1,43,16,98.59588413717417,1.0,-0.6,-1.7,0.8,-0.9,1,0,-0.8430248034927053
26,6,2020,0,1,44,17,98.59588413717417,1.0,-0.6,-1.7,0.8,-0.9,1,0,-0.9097198681826196
27,6,2021,0,1,45,18,98.59588413717417,1.0,-0.6,-1.7,0.8,-0.9,1,0,-1.2174774041759784
28,7,2018,0,1,21,0,115.63476495582651,0.6,0.9,-1.7,-0.8,-1.8,1,0,1.951686652810799
29,7,2019,0,1,22,1,115.63476495582651,0.6,0.9,-1.7,-0.8,-1.8,1,0,-0.5069248988848594
30,7,2020,0,1,23,2,115.63476495582651,0.6,0.9,-1.7,-0.8,-1.8,1,0,1.0789170610656227
31,7,2021,0,1,24,3,115.63476495582651,0.6,0.9,-1.7,-0.8,-1.8,0,0,0.017791637592830593
32,8,2018,0,1,29,8,103.1569637211443,1.5,-1.2,-0.0,0.8,-0.0,1,0,-0.7994775959989648
33,8,2019,0,1,30,9,103.1569637211443,1.5,-1.2,-0.0,0.8,-0.0,1,0,1.4490165853241868
34,8,2020,0,1,31,10,103.1569637211443,1.5,-1.2,-0.0,0.8,-0.0,1,0,-0.4337331138174373
35,8,2021,0,1,32,11,103.1569637211443,1.5,-1.2,-0.0,0.8,-0.0,1,0,1.4531224319017175
36,9,2018,0,2,58,32,83.57315045814595,0.5,-0.7,1.4,0.1,-0.5,0,0,0.8624086546504082
37,9,2019,0,2,59,33,83.57315045814595,0.5,-0.7,1.4,0.1,-0.5,1,0,-1.5357549757450457
38,9,2020,0,2,60,34,83.57315045814595,0.5,-0.7,1.4,0.1,-0.5,0,0,-1.0498710767032255
39,9,2021,0,2,61,35,83.57315045814595,0.5,-0.7,1.4,0.1,-0.5,1,0,-0.0811541757954174
40,10,2018,1,2,41,15,94.50035724719818,-0.5,0.1,-0.2,-1.4,1.0,1,1,-0.30810189344639455
41,10,2019,1,2,42,16,94.50035724719818,-0.5,0.1,-0.2,-1.4,1.0,0,1,1.2145502058527564
42,10,2020,1,2,43,17,94.50035724719818,-0.5,0.1,-0.2,-1.4,1.0,0,1,-0.8124839855324247
43,10,2021,1,2,44,18,94.50035724719818,-0.5,0.1,-0.2,-1.4,1.0,0,1,1.5468281813653784
44,11,2018,1,2,55,28,115.91946022342678,-1.0,1.9,1.6,0.8,0.6,1,1,0.45908068362523674
45,11,2019,1,2,56,29,115.91946022342678,-1.0,1.9,1.6,0.8,0.6,0,1,-1.0160789716672118
46,11,2020,1,2,57,30,115.91946022342678,-1.0,1.9,1.6,0.8,0.6,1,1,0.6775024702716637
47,11,2021,1,2,58,31,115.91946022342678,-1.0,1.9,1.6,0.8,0.6,1,1,0.2179116955294332
48,12,2018,1,1,30,5,99.5332412811243,1.1,-1.0,0.4,-0.7,-0.1,1,1,-0.3022542562579226
49,12,2019,1,1,31,6,99.5332412811243,1.1,-1.0,0.4,-0.7,-0.1,1,1,-0.5164860569818195
50,12,2020,1,1,32,7,99.5332412811243,1.1,-1.0,0.4,-0.7,-0.1,1,1,0.3106968051273998
51,12,2021,1,1,33,8,99.5332412811243,1.1,-1.0,0.4,-0.7,-0.1,0,1,-0.19391244408758043
52,13,2018,1,1,34,13,88.7874517980503,-0.4,0.1,-1.2,0.7,0.1,0,1,-0.6948897004760147
53,13,2019,1,1,35,14,88.7874517980503,-0.4,0.1,-1.2,0.7,0.1,0,1,0.18750347843139387
54,13,2020,1,1,36,15,88.7874517980503,-0.4,0.1,-1.2,0.7,0.1,0,1,0.16454011230656573
55,13,2021,1,1,37,16,88.7874517980503,-0.4,0.1,-1.2,0.7,0.1,1,1,0.4102049007677564
56,14,2018,1,2,63,42,106.65922634191904,0.8,0.1,2.1,-0.0,-1.2,0,1,0.8690978747027283
57,14,2019,1,2,64,43,106.65922634191904,0.8,0.1,2.1,-0.0,-1.2,1,1,0.4563821534935905
58,14,2020,1,2,65,44,106.65922634191904,0.8,0.1,2.1,-0.0,-1.2,1,1,0.3706380538953615
59,14,2021,1,2,66,45,106.65922634191904,0.8,0.1,2.1,-0.0,-1.2,0,1,1.1987346126819183
60,15,2018,1,1,46,26,90.02118364683487,0.3,-0.5,1.9,0.3,1.0,1,1,-1.1513774393933978
61,15,2019,1,1,47,27,90.02118364683487,0.3,-0.5,1.9,0.3,1.0,0,1,0.37985490619844775
62,15,2020,1,1,48,28,90.02118364683487,0.3,-0.5,1.9,0.3,1.0,0,1,1.688971490886598
63,15,2021,1,1,49,29,90.02118364683487,0.3,-0.5,1.9,0.3,1.0,1,1,-0.36573147570084624
64,16,2018,1,2,63,42,94.05453411570191,-0.4,2.5,-0.6,-0.3,0.6,1,1,1.4519594370005526
65,16,2019,1,2,64,43,94.05453411570191,-0.4,2.5,-0.6,-0.3,0.6,1,1,-0.00914061103586646
66,16,2020,1,2,65,44,94.05453411570191,-0.4,2.5,-0.6,-0.3,0.6,0,1,0.04050646561933839
67,16,2021,1,2,66,45,94.05453411570191,-0.4,2.5,-0.6,-0.3,0.6,0,1,1.6297714149380205
68,17,2018,1,1,51,22,110.89091940980035,-1.4,0.6,-0.1,0.2,1.8,1,1,-0.9916725861868849
69,17,2019,1,1,52,23,110.89091940980035,-1.4,0.6,-0.1,0.2,1.8,0,1,-0.9778078648590259
70,17,2020,1,1,53,24,110.89091940980035,-1.4,0.6,-0.1,0.2,1.8,0,1,-0.6624761247539284
71,17,2021,1,1,54,25,110.89091940980035,-1.4,0.6,-0.1,0.2,1.8,1,1,-0.6771509099439831
72,18,2018,1,1,42,13,122.21158192129386,-1.7,1.1,-0.7,-0.0,-0.2,1,1,0.35642660225672557
73,18,2019,1,1,43,14,122.21158192129386,-1.7,1.1,-0.7,-0.0,-0.2,0,1,-0.7776887125336056
74,18,2020,1,1,44,15,122.21158192129386,-1.7,1.1,-0.7,-0.0,-0.2,0,1,0.756441162526389
75,18,2021,1,1,45,16,122.21158192129386,-1.7,1.1,-0.7,-0.0,-0.2,0,1,0.11405084386603416
76,19,2018,1,1,24,4,71.5309444677076,-2.4,-0.1,-1.4,0.6,0.9,1,1,-0.23577748892754943
77,19,2019,1,1,25,5,71.5309444677076,-2.4,-0.1,-1.4,0.6,0.9,0,1,1.1209986910913374
78,19,2020,1,1,26,6,71.5309444677076,-2.4,-0.1,-1.4,0.6,0.9,1,1,1.53056071044392
79,19,2021,1,1,27,7,71.5309444677076,-2.4,-0.1,-1.4,0.6,0.9,0,1,-0.46009582351878126
80,20,2018,2,2,60,36,92.97353675370817,-2.0,0.5,-0.4,-0.2,-0.5,1,1,-0.9666921578254182
81,20,2019,2,2,61,37,92.97353675370817,-2.0,0.5,-0.4,-0.2,-0.5,1,1,-0.5951858405453221
82,20,2020,2,2,62,38,92.97353675370817,-2.0,0.5,-0.4,-0.2,-0.5,1,1,0.69837260801619
83,20,2021,2,2,63,39,92.97353675370817,-2.0,0.5,-0.4,-0.2,-0.5,1,1,0.23356199119340895
84,21,2018,2,2,32,12,97.44030655861066,0.6,-2.0,-0.5,-1.3,-1.0,1,1,1.0298647463609991
85,21,2019,2,2,33,13,97.44030655861066,0.6,-2.0,-0.5,-1.3,-1.0,1,1,0.4111196303658332
86,21,2020,2,2,34,14,97.44030655861066,0.6,-2.0,-0.5,-1.3,-1.0,1,1,0.5688709982741189
87,21,2021,2,2,35,15,97.44030655861066,0.6,-2.0,-0.5,-1.3,-1.0,1,1,0.7536590636614142
88,22,2018,2,1,47,27,99.93421376470359,-2.2,0.2,1.3,1.2,0.5,1,1,-0.6520788860419601
89,22,2019,2,1,48,28,99.93421376470359,-2.2,0.2,1.3,1.2,0.5,1,1,0.09324943799341145
90,22,2020,2,1,49,29,99.93421376470359,-2.2,0.2,1.3,1.2,0.5,1,1,1.3528878725700075
91,22,2021,2,1,50,30,99.93421376470359,-2.2,0.2,1.3,1.2,0.5,1,1,0.2071187710697194
92,23,2018,2,2,51,28,105.53438910956741,-1.1,-1.0,-1.3,0.5,-1.2,0,1,1.0134428272543126
93,23,2019,2,2,52,29,105.53438910956741,-1.1,-1.0,-1.3,0.5,-1.2,1,1,1.1531416590338563
94,23,2020,2,2,53,30,105.53438910956741,-1.1,-1.0,-1.3,0.5,-1.2,1,1,-1.4177981311790642
95,23,2021,2,2,54,31,105.53438910956741,-1.1,-1.0,-1.3,0.5,-1.2,1,1,1.6600893399335896
96,24,2018,2,2,32,11,116.18151554180136,-0.5,1.2,0.3,-0.9,0.9,1,1,-0.09600092655001602
97,24,2019,2,2,33,12,116.18151554180136,-0.5,1.2,0.3,-0.9,0.9,1,1,0.46753829754310144
98,24,2020,2,2,34,13,116.18151554180136,-0.5,1.2,0.3,-0.9,0.9,1,1,0.9678282176531736
99,24,2021,2,2,35,14,116.18151554180136,-0.5,1.2,0.3,-0.9,0.9,1,1,1.3200102875581978
100,25,2018,2,1,47,25,97.306947152941,0.1,-2.2,0.4,0.7,0.4,1,1,0.5689755305317888
101,25,2019,2,1,48,26,97.306947152941,0.1,-2.2,0.4,0.7,0.4,1,1,-0.8858486243871819
102,25,2020,2,1,49,27,97.306947152941,0.1,-2.2,0.4,0.7,0.4,0,1,-0.2811592216505589
103,25,2021,2,1,50,28,97.306947152941,0.1,-2.2,0.4,0.7,0.4,1,1,-0.7108976508099365
104,26,2018,2,1,27,0,102.75554085122381,-0.6,-1.0,-1.8,-0.1,-0.5,1,1,-1.0968678131049987
105,26,2019,2,1,28,1,102.75554085122381,-0.6,-1.0,-1.8,-0.1,-0.5,1,1,-0.6151688591711633
106,26,2020,2,1,29,2,102.75554085122381,-0.6,-1.0,-1.8,-0.1,-0.5,0,1,-1.8039991133337256
107,26,2021,2,1,30,3,102.75554085122381,-0.6,-1.0,-1.8,-0.1,-0.5,1,1,-0.23628276219195465
108,27,2018,2,2,57,34,86.82972773409803,-0.2,1.6,0.3,-2.3,0.9,0,1,0.710959331804165
109,27,2019,2,2,58,35,86.82972773409803,-0.2,1.6,0.3,-2.3,0.9,1,1,-0.5573906089454878
110,27,2020,2,2,59,36,86.82972773409803,-0.2,1.6,0.3,-2.3,0.9,1,1,0.09040540010862638
111,27,2021,2,2,60,37,86.82972773409803,-0.2,1.6,0.3,-2.3,0.9,1,1,0.4148045964014964
112,28,2018,2,2,41,21,117.16891459821001,-1.0,0.9,-1.6,-0.7,-1.5,0,1,0.00016107651571261342
113,28,2019,2,2,42,22,117.16891459821001,-1.0,0.9,-1.6,-0.7,-1.5,1,1,-0.5841506819725607
114,28,2020,2,2,43,23,117.16891459821001,-1.0,0.9,-1.6,-0.7,-1.5,0,1,0.8951334014142263
115,28,2021,2,2,44,24,117.16891459821001,-1.0,0.9,-1.6,-0.7,-1.5,1,1,0.6052178899199488
116,29,2018,2,2,54,25,102.58969187571151,-1.4,0.3,0.2,-1.0,0.6,1,1,1.718929462297876
117,29,2019,2,2,55,26,102.58969187571151,-1.4,0.3,0.2,-1.0,0.6,1,1,0.8295269638881243
118,29,2020,2,2,56,27,102.58969187571151,-1.4,0.3,0.2,-1.0,0.6,1,1,1.4371068658930417
119,29,2021,2,2,57,28,102.58969187571151,-1.4,0.3,0.2,-1.0,0.6,1,1,0.2824578182349846
120,30,2018,3,1,55,26,94.02159771800008,1.6,0.8,-1.1,0.4,-1.2,1,1,-1.0353127449702233
121,30,2019,3,1,56,27,94.02159771800008,1.6,0.8,-1.1,0.4,-1.2,1,1,-1.2113467154835416
122,30,2020,3,1,57,28,94.02159771800008,1.6,0.8,-1.1,0.4,-1.2,1,1,-1.1045460790877406
123,30,2021,3,1,58,29,94.02159771800008,1.6,0.8,-1.1,0.4,-1.2,1,1,-0.005792482503439593
124,31,2018,3,2,53,24,100.37437653613972,1.1,-0.1,0.4,-0.1,-2.3,1,1,0.2099137535679398
125,31,2019,3,2,54,25,100.37437653613972,1.1,-0.1,0.4,-0.1,-2.3,1,1,-0.3141593436608659
126,31,2020,3,2,55,26,100.37437653613972,1.1,-0.1,0.4,-0.1,-2.3,0,1,1.465459434401818
127,31,2021,3,2,56,27,100.37437653613972,1.1,-0.1,0.4,-0.1,-2.3,0,1,-0.6193186811260509
128,32,2018,3,2,50,28,115.47578572892722,0.9,0.7,-0.6,-0.8,0.5,0,1,-0.0712354278824605
129,32,2019,3,2,51,29,115.47578572892722,0.9,0.7,-0.6,-0.8,0.5,1,1,1.0436847064662091
130,32,2020,3,2,52,30,115.47578572892722,0.9,0.7,-0.6,-0.8,0.5,1,1,0.6957138301766844
131,32,2021,3,2,53,31,115.47578572892722,0.9,0.7,-0.6,-0.8,0.5,0,1,0.4208194583751772
132,33,2018,3,1,53,28,98.45938255627665,1.2,0.9,0.9,-0.7,0.4,1,1,1.1040126477336067
133,33,2019,3,1,54,29,98.45938255627665,1.2,0.9,0.9,-0.7,0.4,1,1,-0.8928732569086565
134,33,2020,3,1,55,30,98.45938255627665,1.2,0.9,0.9,-0.7,0.4,1,1,-0.6043136778926769
135,33,2021,3,1,56,31,98.45938255627665,1.2,0.9,0.9,-0.7,0.4,1,1,-0.8388202687796384
136,34,2018,3,1,62,33,91.63717291684839,1.9,0.0,-0.7,-0.0,-1.1,1,1,1.2566953150742801
137,34,2019,3,1,63,34,91.63717291684839,1.9,0.0,-0.7,-0.0,-1.1,0,1,1.7929213085136877
138,34,2020,3,1,64,35,91.63717291684839,1.9,0.0,-0.7,-0.0,-1.1,1,1,0.8448336379393457
139,34,2021,3,1,65,36,91.63717291684839,1.9,0.0,-0.7,-0.0,-1.1,1,1,1.3818591409359988
140,35,2018,3,2,56,31,97.77908425152326,0.8,0.7,-1.5,1.1,0.3,1,1,0.674637899282721
141,35,2019,3,2,57,32,97.77908425152326,0.8,0.7,-1.5,1.1,0.3,1,1,-0.6136083905515671
142,35,2020,3,2,58,33,97.77908425152326,0.8,0.7,-1.5,1.1,0.3,1,1,0.5124208300820345
143,35,2021,3,2,59,34,97.77908425152326,0.8,0.7,-1.5,1.1,0.3,1,1,-0.35566298037815836
144,36,2018,3,2,52,25,105.24712953768216,1.9,-0.7,0.1,-0.5,-1.3,1,1,1.4790420443680137
145,36,2019,3,2,53,26,105.24712953768216,1.9,-0.7,0.1,-0.5,-1.3,1,1,-0.6619177958446897
146,36,2020,3,2,54,27,105.24712953768216,1.9,-0.7,0.1,-0.5,-1.3,1,1,-0.624952404609881
147,36,2021,3,2,55,28,105.24712953768216,1.9,-0.7,0.1,-0.5,-1.3,1,1,-0.36313491033738077
148,37,2018,3,2,39,17,106.77205194391705,0.1,-0.3,-0.8,-0.3,0.0,1,1,-1.0928611694682928
149,37,2019,3,2,40,18,106.77205194391705,0.1,-0.3,-0.8,-0.3,0.0,1,1,0.49943404382130946
150,37,2020,3,2,41,19,106.77205194391705,0.1,-0.3,-0.8,-0.3,0.0,1,1,-1.5409834939888738
151,37,2021,3,2,42,20,106.77205194391705,0.1,-0.3,-0.8,-0.3,0.0,1,1,0.08513133592628583
152,38,2018,3,1,50,26,117.41674712996142,1.3,-0.2,0.3,1.5,0.0,1,1,0.6860332253703233
153,38,2019,3,1,51,27,117.41674712996142,1.3,-0.2,0.3,1.5,0.0,1,1,-0.9527264086864636
154,38,2020,3,1,52,28,117.41674712996142,1.3,-0.2,0.3,1.5,0.0,1,1,2.0019510955073394
155,38,2021,3,1,53,29,117.41674712996142,1.3,-0.2,0.3,1.5,0.0,1,1,-0.17386893158721378
156,39,2018,3,2,60,33,131.90960515463033,-0.8,0.6,-0.5,-1.5,0.7,1,1,1.2850221186998683
157,39,2019,3,2,61,34,131.90960515463033,-0.8,0.6,-0.5,-1.5,0.7,1,1,-0.365299253241965
158,39,2020,3,2,62,35,131.90960515463033,-0.8,0.6,-0.5,-1.5,0.7,1,1,0.4254212434743763
159,39,2021,3,2,63,36,131.90960515463033,-0.8,0.6,-0.5,-1.5,0.7,1,1,-0.05331207943780616
160,40,2018,4,1,30,9,97.76199587837236,-0.6,-0.3,0.1,0.0,-0.6,1,0,0.44124108319986094
161,40,2019,4,1,31,10,97.76199587837236,-0.6,-0.3,0.1,0.0,-0.6,1,0,1.3883840711550144
162,40,2020,4,1,32,11,97.76199587837236,-0.6,-0.3,0.1,0.0,-0.6,1,0,-2.0945814891062495
163,40,2021,4,1,33,12,97.76199587837236,-0.6,-0.3,0.1,0.0,-0.6,1,0,-0.8199380137615596
164,41,2018,4,1,32,10,81.33554069535043,-0.0,-0.0,-0.9,-0.3,0.2,1,0,-0.3046141543627992
165,41,2019,4,1,33,11,81.33554069535043,-0.0,-0.0,-0.9,-0.3,0.2,0,0,-0.1773303052695088
166,41,2020,4,1,34,12,81.33554069535043,-0.0,-0.0,-0.9,-0.3,0.2,1,0,-0.049318880668033006
167,41,2021,4,1,35,13,81.33554069535043,-0.0,-0.0,-0.9,-0.3,0.2,1,0,-0.7614196438628724
168,42,2018,4,2,20,0,83.36141936684072,1.5,-0.7,1.0,-0.4,-0.7,1,0,0.39629611139639725
169,42,2019,4,2,21,1,83.36141936684072,1.5,-0.7,1.0,-0.4,-0.7,1,0,1.3688335442238868
170,42,2020,4,2,22,2,83.36141936684072,1.5,-0.7,1.0,-0.4,-0.7,1,0,1.0308734087952331
171,42,2021,4,2,23,3,83.36141936684072,1.5,-0.7,1.0,-0.4,-0.7,1,0,0.6170942794319487
172,43,2018,4,1,24,0,71.25022399309971,-0.5,-2.1,2.3,-1.2,0.5,1,0,0.4555439147268387
173,43,2019,4,1,25,1,71.25022399309971,-0.5,-2.1,2.3,-1.2,0.5,1,0,-2.05495716172595
174,43,2020,4,1,26,2,71.25022399309971,-0.5,-2.1,2.3,-1.2,0.5,1,0,0.6871326145147789
175,43,2021,4,1,27,3,71.25022399309971,-0.5,-2.1,2.3,-1.2,0.5,1,0,-0.5961417788648765
176,44,2018,4,1,28,5,104.47792199748547,-2.2,1.0,1.4,1.4,0.2,0,0,0.2992624183868802
177,44,2019,4,1,29,6,104.47792199748547,-2.2,1.0,1.4,1.4,0.2,1,0,0.8531444862106891
178,44,2020,4,1,30,7,104.47792199748547,-2.2,1.0,1.4,1.4,0.2,1,0,-0.23452656200705393
179,44,2021,4,1,31,8,104.47792199748547,-2.2,1.0,1.4,1.4,0.2,1,0,0.1227479389011058
180,45,2018,4,1,29,0,100.02843215560301,-1.1,-0.6,-1.7,1.5,-0.5,1,0,0.7120343905596032
181,45,2019,4,1,30,1,100.02843215560301,-1.1,-0.6,-1.7,1.5,-0.5,1,0,-0.3862524429892887
182,45,2020,4,1,31,2,100.02843215560301,-1.1,-0.6,-1.7,1.5,-0.5,1,0,-0.6371871760731627
183,45,2021,4,1,32,3,100.02843215560301,-1.1,-0.6,-1.7,1.5,-0.5,1,0,0.2637105578106088
184,46,2018,4,2,39,13,94.63205166738652,-1.1,-0.9,0.8,1.0,-1.5,1,0,0.11849379444511404
185,46,2019,4,2,40,14,94.63205166738652,-1.1,-0.9,0.8,1.0,-1.5,1,0,-0.0448245925607327
186,46,2020,4,2,41,15,94.63205166738652,-1.1,-0.9,0.8,1.0,-1.5,1,0,0.40222913931668697
187,46,2021,4,2,42,16,94.63205166738652,-1.1,-0.9,0.8,1.0,-1.5,1,0,1.3147585289887507
188,47,2018,4,1,23,0,87.1828919134922,0.3,0.8,-0.3,-1.4,0.1,1,0,-0.8000138203179249
189,47,2019,4,1,24,1,87.1828919134922,0.3,0.8,-0.3,-1.4,0.1,1,0,0.7705122090543042
190,47,2020,4,1,25,2,87.1828919134922,0.3,0.8,-0.3,-1.4,0.1,1,0,1.1358460488906275
191,47,2021,4,1,26,3,87.1828919134922,0.3,0.8,-0.3,-1.4,0.1,1,0,1.4990662392380587
192,48,2018,4,2,55,30,119.55413982398136,-1.7,0.6,-0.9,-0.5,-0.0,1,0,-0.21754359718701027
193,48,2019,4,2,56,31,119.55413982398136,-1.7,0.6,-0.9,-0.5,-0.0,1,0,-1.2179012179300817
194,48,2020,4,2,57,32,119.55413982398136,-1.7,0.6,-0.9,-0.5,-0.0,1,0,-0.11337603142261216
195,48,2021,4,2,58,33,119.55413982398136,-1.7,0.6,-0.9,-0.5,-0.0,1,0,-0.9859377903034919
196,49,2018,4,1,53,30,117.15268580969443,-1.3,0.3,0.1,0.3,2.0,1,0,0.4228747261527406
197,49,2019,4,1,54,31,117.15268580969443,-1.3,0.3,0.1,0.3,2.0,1,0,0.24467372478066987
198,49,2020,4,1,55,32,117.15268580969443,-1.3,0.3,0.1,0.3,2.0,1,0,-1.2354683722109332
199,49,2021,4,1,56,33,117.15268580969443,-1.3,0.3,0.1,0.3,2.0,1,0,-1.7982412136568795
200,50,2018,5,1,62,38,108.4100879493139,1.5,1.7,-1.3,2.0,-0.2,1,1,2.524733438039149
201,50,2019,5,1,63,39,108.4100879493139,1.5,1.7,-1.3,2.0,-0.2,1,1,-0.008737452496324698
202,50,2020,5,1,64,40,108.4100879493139,1.5,1.7,-1.3,2.0,-0.2,1,1,0.5833430732766869
203,50,2021,5,1,65,41,108.4100879493139,1.5,1.7,-1.3,2.0,-0.2,0,1,0.39125098639110045
204,51,2018,5,1,42,18,87.54189922955693,-1.9,1.3,0.8,1.6,-0.8,1,1,-0.48120189093303595
205,51,2019,5,1,43,19,87.54189922955693,-1.9,1.3,0.8,1.6,-0.8,1,1,-0.51315497234458
206,51,2020,5,1,44,20,87.54189922955693,-1.9,1.3,0.8,1.6,-0.8,0,1,0.9857499435856925
207,51,2021,5,1,45,21,87.54189922955693,-1.9,1.3,0.8,1.6,-0.8,0,1,0.06491794777180039
208,52,2018,5,2,63,37,84.98026718499156,-0.6,-0.3,2.8,0.1,-0.8,0,1,1.1956682507175207
209,52,2019,5,2,64,38,84.98026718499156,-0.6,-0.3,2.8,0.1,-0.8,0,1,-0.3053776546972575
210,52,2020,5,2,65,39,84.98026718499156,-0.6,-0.3,2.8,0.1,-0.8,0,1,0.8975572107169243
211,52,2021,5,2,66,40,84.98026718499156,-0.6,-0.3,2.8,0.1,-0.8,0,1,2.5884134603384275
212,53,2018,5,2,28,0,105.99081800051086,-1.5,-0.4,-1.0,-0.5,-1.8,1,1,2.260432925269851
213,53,2019,5,2,29,1,105.99081800051086,-1.5,-0.4,-1.0,-0.5,-1.8,1,1,-0.07239481190920549
214,53,2020,5,2,30,2,105.99081800051086,-1.5,-0.4,-1.0,-0.5,-1.8,0,1,0.2413295642347647
215,53,2021,5,2,31,3,105.99081800051086,-1.5,-0.4,-1.0,-0.5,-1.8,0,1,1.2805456546140206
216,54,2018,5,1,41,20,97.51757550813144,-0.8,0.1,0.0,-0.6,-1.1,1,1,0.8351560009266973
217,54,2019,5,1,42,21,97.51757550813144,-0.8,0.1,0.0,-0.6,-1.1,0,1,-0.293729681611683
218,54,2020,5,1,43,22,97.51757550813144,-0.8,0.1,0.0,-0.6,-1.1,1,1,1.3564855943821208
219,54,2021,5,1,44,23,97.51757550813144,-0.8,0.1,0.0,-0.6,-1.1,0,1,0.039923578127660155
220,55,2018,5,1,65,45,95.55380491630616,-1.1,1.9,1.2,0.2,0.9,0,1,-0.4852657555471437
221,55,2019,5,1,66,46,95.55380491630616,-1.1,1.9,1.2,0.2,0.9,1,1,1.1412165241520955
222,55,2020,5,1,67,47,95.55380491630616,-1.1,1.9,1.2,0.2,0.9,1,1,1.2351751446183752
223,55,2021,5,1,68,48,95.55380491630616,-1.1,1.9,1.2,0.2,0.9,0,1,1.1640857194188337
224,56,2018,5,2,52,30,101.54020332199238,-0.8,-0.9,1.2,-0.9,-0.2,0,1,-0.09666293648011014
225,56,2019,5,2,53,31,101.54020332199238,-0.8,-0.9,1.2,-0.9,-0.2,0,1,-0.154584092285093
226,56,2020,5,2,54,32,101.54020332199238,-0.8,-0.9,1.2,-0.9,-0.2,1,1,0.2943249856902877
227,56,2021,5,2,55,33,101.54020332199238,-0.8,-0.9,1.2,-0.9,-0.2,0,1,1.5837282486203983
228,57,2018,5,2,57,32,104.64486974721859,-0.8,0.5,0.2,0.9,1.0,1,1,1.068805511160933
229,57,2019,5,2,58,33,104.64486974721859,-0.8,0.5,0.2,0.9,1.0,1,1,1.6054642019502405
230,57,2020,5,2,59,34,104.64486974721859,-0.8,0.5,0.2,0.9,1.0,1,1,0.7114553365130822
231,57,2021,5,2,60,35,104.64486974721859,-0.8,0.5,0.2,0.9,1.0,0,1,1.3175803780965594
232,58,2018,5,2,38,10,113.65738306062595,-0.2,0.2,-0.2,1.2,-0.4,0,1,1.0532555245718893
233,58,2019,5,2,39,11,113.65738306062595,-0.2,0.2,-0.2,1.2,-0.4,0,1,-0.050615784740729565
234,58,2020,5,2,40,12,113.65738306062595,-0.2,0.2,-0.2,1.2,-0.4,0,1,1.7529230811373064
